Word,Frequency,Rank
tar,7,440
savoury,7,441
compared,7,442
vintages,7,443
chocolate,7,444
make,7,445
impressive.,7,446
healthy,7,447
day,7,448
bit.,7,449
honey,7,450
they,7,451
half,7,452
"pleasant,",7,453
different,7,454
concentrated.,7,455
huge,7,456
bitterness,7,457
"ok,",7,458
oak.,7,459
de,7,460
bitter,7,461
nutty,7,462
actually,7,463
"tannins,",7,464
"floral,",7,465
"bright,",7,466
wasn't,7,467
keen,7,468
most,7,469
see,7,470
up.,7,471
be.,7,472
special,7,473
needing,7,474
did,7,475
structure.,7,476
richness,7,477
(i,7,478
"weight,",7,479
end,7,480
indeed.,7,481
later,7,482
early,7,483
bone,6,484
despite,6,485
restrained,6,486
structured,6,487
star,6,488
minerality.,6,489
enough.,6,490
"well,",6,491
flat,6,492
vinous,6,493
cru,6,494
suggests,6,495
classy,6,496
edgy,6,497
splendid,6,498
low,6,499
basic,6,500
quality.,6,501
pleasingly,6,502
air,6,503
st,6,504
classy.,6,505
perfectly,6,506
through.,6,507
out.,6,508
herby,6,509
terroir,6,510
appetising.,6,511
yet.,6,512
oxidised.,6,513
resolved,6,514
"interesting,",6,515
characterful.,6,516
"delicate,",6,517
ago,6,518
flabby,6,519
graceful,6,520
suspect,6,521
fresh.,6,522
class,6,523
"first,",6,524
apple,6,525
sweet.,6,526
austere,6,527
hot,6,528
succulent,6,529
difficult,6,530
botrytis,6,531
interest,6,532
grand,6,533
structured.,6,534
"too,",6,535
give,6,536
because,6,537
used,6,538
sometimes,6,539
keep,6,540
charming,6,541
ultimately,6,542
those,6,543
barolo,6,544
weight.,6,545
label,6,546
soft.,6,547
"balance,",6,548
dark,6,549
before,6,550
same,6,551
age.,6,552
"rustic,",6,553
maturity,6,554
vineyard,6,555
easy-going,6,556
together.,6,557
guess.,6,558
enjoyable,6,559
beyond,5,560
weighty,5,561
"mature,",5,562
apricot,5,563
serious,5,564
tobacco.,5,565
proper,5,566
woody,5,567
"tight,",5,568
cork,5,569
black,5,570
blanc,5,571
"sweet,",5,572
"savoury,",5,573
high,5,574
honeyed,5,575
"smoky,",5,576
mixed,5,577
vanilla,5,578
"peak,",5,579
"however,",5,580
oddly,5,581
improve.,5,582
blackberry,5,583
three,5,584
chocolatey,5,585
"vintage,",5,586
"apples,",5,587
until,5,588
softer,5,589
"drinkable,",5,590
disappointing,5,591
since,5,592
coming,5,593
mouthfilling,5,594
disappointing.,5,595
oxidation.,5,596
purity,5,597
i'll,5,598
fruits.,5,599
minty.,5,600
generally,5,601
beetroot,5,602
stuff.,5,603
haven't,5,604
similar,5,605
maturity.,5,606
fades,5,607
plus,5,608
where,5,609
stinky,5,610
making,5,611
"peachy,",5,612
properly,5,613
note,5,614
lack,5,615
suppose,5,616
young.,5,617
amazing,5,618
forward.,5,619
fat,5,620
made.,5,621
mainly,5,622
strong,5,623
ok,5,624
holding,5,625
remember,5,626
full,5,627
"forward,",5,628
classic.,5,629
"easy,",5,630
feel.,5,631
didn't,5,632
hurry,5,633
varietal,5,634
surely,5,635
firm,5,636
added,5,637
(this,5,638
"attractive,",5,639
notes.,5,640
burgundian,5,641
lightweight,5,642
"earthy,",5,643
old-fashioned,5,644
(a,5,645
show,5,646
appley,5,647
"nice,",5,648
blows,5,649
fruity.,5,650
bags,5,651
"tannic,",5,652
wonder,5,653
brown,5,654
solid,5,655
"grassy,",5,656
drying,5,657
refined,5,658
peachy,5,659
must,5,660
absolute,5,661
easily,5,662
"plummy,",5,663
reasonable,5,664
"bone-dry,",5,665
youthful,4,666
"very,",4,667
great.,4,668
vegetal,4,669
aniseed.,4,670
(as,4,671
love,4,672
highest,4,673
excessive,4,674
long-term,4,675
condition.,4,676
splendid.,4,677
pay,4,678
while.,4,679
above,4,680
expect,4,681
side,4,682
every,4,683
intensity.,4,684
twist,4,685
sure.,4,686
property,4,687
dilute,4,688
middle,4,689
thinking,4,690
producer,4,691
"closed,",4,692
autolytic,4,693
claret.,4,694
each,4,695
straw,4,696
prosecco,4,697
"sherberty,",4,698
peak,4,699
never,4,700
herbs,4,701
obvious,4,702
"acidity,",4,703
orange,4,704
spicy,4,705
poor,4,706
whole,4,707
rush,4,708
"tarry,",4,709
closed.,4,710
roses,4,711
(the,4,712
disgorged,4,713
much.,4,714
"wines,",4,715
memory,4,716
wood,4,717
vibrant,4,718
"meaty,",4,719
lifted,4,720
fizzy,4,721
glorious,4,722
touch.,4,723
things,4,724
keeping,4,725
chardonnay,4,726
entirely,4,727
core,4,728
unlike,4,729
austere.,4,730
aging,4,731
heavy,4,732
brought,4,733
leafy,4,734
standard,4,735
hasn't,4,736
fruits,4,737
(but,4,738
fizz.,4,739
special.,4,740
tarry,4,741
striking,4,742
best.,4,743
"reserved,",4,744
medium-weight,4,745
who,4,746
"richer,",4,747
bread,4,748
stars.,4,749
done,4,750
we,4,751
sense,4,752
hinting,4,753
toned,4,754
into,4,755
improving,4,756
higher,4,757
tightly,4,758
off-dry,4,759
ready,4,760
"leafy,",4,761
cigar,4,762
terribly,4,763
characters,4,764
case,4,765
oily,4,766
longer,4,767
stony,4,768
salty,4,769
gets,4,770
pure.,4,771
curious,4,772
mix,4,773
delicate,4,774
feelings,4,775
background,4,776
hollow,4,777
pleasure,4,778
suspect.,4,779
odd.,4,780
grapes,4,781
individual,4,782
gorgeous.,4,783
smoky,4,784
oxidation,4,785
persistent,4,786
"ripe,",4,787
"weighty,",4,788
dominated,4,789
suave.,4,790
says,4,791
textured.,4,792
alcohol,4,793
lees,4,794
drier,4,795
producer.,4,796
know,4,797
start,4,798
name,4,799
sign,4,800
word,4,801
"lightweight,",4,802
fair,4,803
disjointed,4,804
dumb,4,805
earlier,4,806
impression,4,807
"cherries,",4,808
recently.,4,809
fading,4,810
off.,4,811
primary,4,812
that.,4,813
soon,4,814
evident.,4,815
that's,4,816
"fat,",4,817
effort,4,818
certainly,4,819
producers,4,820
ever,4,821
sort.,4,822
fully,4,823
highly,4,824
further,4,825
"later,",4,826
(some,4,827
opening,4,828
cuvee,4,829
ripe.,4,830
especially,4,831
benefit,4,832
rustic.,4,833
becomes,4,834
"citric,",4,835
corked,4,836
approachable,4,837
softly,4,838
substantial.,4,839
"length,",4,840
hard.,4,841
(perhaps,4,842
"character,",3,843
extravagantly,3,844
touches,3,845
clear,3,846
"chocolate,",3,847
serious.,3,848
samples,3,849
"dilute,",3,850
overly,3,851
awkward,3,852
barrel,3,853
getting,3,854
botrytis.,3,855
winemaking,3,856
pale,3,857
expense,3,858
"baked,",3,859
bodied,3,860
point,3,861
example,3,862
on.,3,863
fills,3,864
rubbery,3,865
judgement,3,866
stunning,3,867
heavily,3,868
wound,3,869
sherry,3,870
toffee,3,871
"mellow,",3,872
"time,",3,873
property.,3,874
however,3,875
none,3,876
mid-palate,3,877
except,3,878
tire,3,879
old-fashioned.,3,880
already,3,881
reds,3,882
citric,3,883
left,3,884
people,3,885
"austere,",3,886
"botrytis,",3,887
"toffee,",3,888
place.,3,889
"round,",3,890
"way,",3,891
moment,3,892
(which,3,893
cabernet,3,894
suggestive,3,895
chateauneuf.,3,896
"kerosene,",3,897
"years,",3,898
usually,3,899
volatile,3,900
understated,3,901
shows,3,902
relatively,3,903
condition,3,904
elegance,3,905
density,3,906
appetizing.,3,907
"silky,",3,908
gives,3,909
smooth,3,910
vanilla.,3,911
meunier,3,912
"lively,",3,913
port,3,914
grip,3,915
nuts,3,916
"yeast,",3,917
feels,3,918
sent,3,919
luscious.,3,920
premature,3,921
cloying,3,922
(from,3,923
reliable,3,924
emerges,3,925
"suave,",3,926
perfect,3,927
partly,3,928
stands,3,929
"concentrated,",3,930
"two,",3,931
older,3,932
lemony,3,933
keeping.,3,934
chardonnay.,3,935
exciting,3,936
edge.,3,937
"herbs,",3,938
apparent,3,939
farmyard,3,940
generous,3,941
pruney,3,942
everything,3,943
overtones,3,944
beautifully,3,945
recall.,3,946
lesser,3,947
goes,3,948
"structured,",3,949
help.,3,950
yes,3,951
"juicy,",3,952
second,3,953
dessert,3,954
pleasing,3,955
opening.,3,956
sign.,3,957
gentle,3,958
"that,",3,959
"scented,",3,960
"open,",3,961
syrah,3,962
acid.,3,963
"out,",3,964
effort.,3,965
are),3,966
rim.,3,967
petrolly,3,968
excited,3,969
class.,3,970
characterful,3,971
evening.,3,972
